,Skoda,Fabia,1.4L TDI 80 hp 3cyl.,4.6,1422,185/60 R14
,Volkswagen,Passat,3.2L V6 FSI 250 hp DSG 6 4Motion,9.8,3168,235/45 R17
,Seat,Altea,1.4L TSI 125 hp,6.4,1390,205/55 R16
,Citroen,C4 Picasso Excl. +,1.6L HDi FAP 110 hp AMT,5.4,1560,215/45 R18
,Volkswagen,Crosspolo,1.4L 100 hp,6.8,1390,215/40 R17 Z
,Audi,A3,2.0L TDI 140 hp DPF S-tronic 6,5.4,1968,205/55 R16
,Volkswagen,Passat,2.0L TDI CR 170 hp DPF DSG 6,6.1,1968,215/55 R16
,Volkswagen,Tiguan,2.0L TSI 170 hp 4Motion,8.9,1984,215/60 R17
,Peugeot,407 SW,2.2L 163 hp,9.2,2231,215/55 R17
,Seat,Altea Sport,2.0L TDI CR 170 hp DPF,5.6,1968,225/45 R17
,Peugeot,207 CC,1.6L HDi FAP 110 hp,5.2,1560,195/55 R16 V
,Volkswagen,Golf,1.4L TSI 122 hp DSG 7,6,1390,195/65 R15
,Audi,TT RS Roadster,2.5L 340 hp quattro 5 cyl.,9.5,2480,245/40 R18 93 Y
,Mitsubishi,Colt,1.1L 75 hp,4.9,1124,195/50 R15
,Dacia,Sandero,1.4L 75 hp,7,1390,185/65 R15
,Skoda,Roomster Scoot,1.6L 105 hp,7,1598,205/40 R17
,Renault,Scénic (2006) 5 pl.,1.5L dCi 105 hp,5.2,1461,195/65 R15
,Peugeot,407,2.0L 140 hp,8.1,1997,215/55 R17
,Citroen,C4 coupé,1.4L 90 hp,6.4,1361,195/65 R15
,Peugeot,607,3.0L V6 210 hp AT,10.2,2946,225/50 R17 Y
,Skoda,Octavia,1.6L 102 hp,7.4,1595,195/65 R15
,Renault,Scénic (2006) 5 pl.,1.6L 110 hp AT,8,1598,205/55 R 16
,Skoda,Fabia Combi,1.4L TDI 80 hp 3 cyl.,4.6,1422,185/60 R14
,Renault,Scenic,1.5L dCi 105 hp,4.9,1461,205/60 R15
,Citroen,C8 (2002),2.0L HDi FAP 110 hp,7.2,1997,215/65 R15 H
,Peugeot,407 SW,2.7L V6 HDi FAP 204 hp AT,8.5,2721,235/45 R18
,Citroen,C4 coupé VTS +,2.0L HDi FAP 140 hp,5.3,1997,205/50 R17
,Volkswagen,Tiguan,2.0L TDI 140 hp 4Motion,6.4,1968,215/60 R17
,Peugeot,107 2-Tronic,1.0L 68 hp 3 Cyl.,4.6,998,155/65 R14 T
,Citroen,C4 Picasso 7 pl.,1.6L THP 150 hp AMT,7.3,1598,215/55 R16
,Skoda,Roomster,1.6L 105 hp,7,1598,195/55 R15
,Audi,S4,3.0L V6 TFSI 333 hp quattro S-tronic 7,9.4,2995,245/40 R18
,Citroen,C4 Picasso Excl. + 7 pl.,2.0L HDi FAP 135 hp AMT,6,1997,215/45 R18
,Nissan,X-Trail Plat.,2.0L dCi 150 hp AT,8.1,1995,215/55 R18
,Audi,A3,1.9L TDI 105 hp,5.1,1896,205/55 R16
,Nissan,Micra,1.4L 88 hp,6.3,1386,175/60 R15
,Seat,Cordoba Sport,1.9L TDI 100 hp,4.9,1896,205/45 R16
,Peugeot,308 GT,1.6L THP 175 hp,7.6,1598,225/40 R18
,Nissan,X-Trail SE,2.0L dCi 150 hp,7.1,1998,215/60 R17
,Volkswagen,Eos,2.0L TDI CR 140 hp DPF,5.8,1968,235/45 R17
,Volkswagen,Tiguan,1.4L TSI 150 hp 4Motion,8,1390,215/60 R17
,Renault,Vel Satis,2.0L dCi 175 hp,7.3,1995,225/55 R17
,Renault,Grand Scénic 7 pl.,1.6L 110 hp,7.5,1598,205/60 R16
,Citroen,C3 XTR,1.4L HDi 70 hp,4.4,1399,185/60 R15
,Mitsubishi,Colt CZ3 (2004),1.3L 95 hp,6,1332,195/50 R15
,Skoda,Superb,2.0L TDI 170 hp DPF,5.8,1968,205/55 R16
,Renault,Grand Scénic 7 pl.,1.5L dCi 105 hp,5.1,1461,205/60 R16
,Citroen,C1,1.4L HDi 55 hp,4.1,1399,155/65 R14
,Renault,Megane 2 (2006) Dyn,1.5L dCi 100 hp,4.5,1461,205/55 R16
,Renault,Megane 2 CC Dyn,1.9L dCi 120 hp,5.5,1870,205/60 R16
,Peugeot,407 SW,2.2L HDi FAP 170 hp,6.2,2179,215/55 R17
,Peugeot,308 SW Prem.,2.0L HDi FAP 136 hp AT,7.1,1997,225/45 R17
,Mitsubishi,Colt Allshift Instyle (2004),1.5L DI-D 95 hp,4.4,1493,205/45 R16
,Peugeot,207 SW,1.4L VTi 95 hp,6.3,1397,185/65 R15 T
,Seat,Alhambra,1.8L 150 hp,9.4,1781,225/45 R17
,Peugeot,308 SW Sport,2.0L HDi FAP 136 hp AT,7.1,1997,215/55 R16
,Mitsubishi,Lancer Instyle,2.0L DI-D 140 hp,6.3,1968,215/45 R18
,Seat,Altea,1.6L 102 hp,7.3,1595,195/65 R15
,Skoda,Roomster Sport,1.9L TDI 105 hp,5.4,1896,205/45 R16
,Peugeot,207 SW Sport,1.6L HDi 90 hp,4.5,1560,195/55 R16 V
,Citroen,C8,2.0L HDi 120 hp,6.9,1997,215/60 R16 H
,Volkswagen,Golf Variant,1.9L TDI 105 hp,5.2,1896,205/55 R16
,Audi,A3 Cabrio Ambition,2.0L TDI 140 hp DPF,5.3,1968,225/45 R17
,Renault,Scénic (2006) 5 pl. Dyn,1.9L dCi 130 hp AT,7.1,1870,205/60 R16
,Mitsubishi,Grandis,2.0L DI-D 140 hp,6.6,1968,215/60 R16
